StrainID,Kingdom,Phylum,Class,Order,Family,Genus,Species,,,,,
Acetatifactor.muris,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Acetatifactor,Acetatifactor_muris,,,,,
Acutalibacter.sp..1XD8.33,Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Acutalibacter,Acutalibacter_sp_1XD8_33,,,,,
Adlercreutzia.equolifaciens.subsp..celatus,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,Adlercreutzia_equolifaciens,,,,,
Adlercreutzia.muris,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,Adlercreutzia_muris,,,,,
Akkermansia.muciniphila,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia_muciniphila,,,,,
Akkermansia.muciniphila.ATCC.BAA.835,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia_muciniphila,,,,,
Alistipes.finegoldii.DSM.17242,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes_finegoldii,,,,,
Alistipes.sp..HGB5,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes_sp,,,,,
Anaerotruncus.sp..1XD22.93,Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Anaerotruncus,Anaerotruncus_sp_1XD42_93,,,,,
Anaerotruncus.sp..G3.2012.,Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Anaerotruncus,Anaerotruncus_sp_G3_2012,,,,,
Anaerovibrio.lipolyticus.LB2005,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Anaerovibrio,Anaerovibrio_lipolyticus,,,,,
Bacteroides.acidifaciens.JCM.10556,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_acidifaciens,,,,,
Bacteroides.caecimuri,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_caecimuri,,,,,
Bacteroides.caecimuris,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_caecimuris,,,,,
Bacteroides.fragilis,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_fragilis,,,,,
Bacteroides.fragilis.str..3397.T10,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_fragilis,,,,,
Bacteroides.massiliensis.B84634...Timone.84634...DSM.17679...JCM.13223,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_massiliensis,,,,,
Bacteroides.ovatus.ATCC.8483,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_ovatus,,,,,
Bacteroides.ovatus.SD.CMC.3f,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_ovatus,,,,,
Bacteroides.sartorii.JCM.17136...DSM.21941,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_sartorii,,,,,
Bacteroides_u_t,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_sp,,,,,
Bacteroides.sp..AF33.23,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_sp_AF33_23,,,,,
Bacteroides.uniformis.dnLKV2,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_uniformis,,,,,
Bacteroides.xylanisolvens.XB1A,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_xylanisolvens,,,,,
Barnesiella.sp..WM24,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,Barnesiella_sp,,,,,
Bifidobacterium.pseudolongum.AGR2145,Bacteria,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium_pseudolongum,,,,,
Bittarella.massiliensis,Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Bittarella,Bittarella_massiliensis,,,,,
Blautia.sp..YL58,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blatia_sp_YL58,,,,,
Butyricimonas.virosa.DSM.23226,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Odoribacteraceae,Butyricimonas,Butyricimonas_virosa,,,,,
Butyrivibrio.sp..LB2008,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio_sp_LB2008,,,,,
Candidatus.Arthromitus_u_t,Bacteria,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Candidatus_Arthoromitis,Candidatus_Arthromitus_sp_SFB_mouse,,,,,
Candidatus.Arthromitus.sp..SFB.mouse.Japan,Bacteria,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Candidatus_Arthoromitis,Candidatus_Arthromitus_sp_SFB_mouse,,,,,
Clostridioides.difficile,Bacteria,Firmicutes,Clostridia,Eubacteriales,Peptostreptococcaceae,Clostridiodes,Clostridiodes_difficile,,,,,
Clostridium.sp..MD294,Bacteria,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium_sp_MD294,,,,,
Clostridium.porci,Bacteria,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium_porci,,,,,
Dorea.sp..5.2,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Dorea,Dorea_sp_5_2,,,,,
Duncaniella.freteri,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Duncaniella,Duncaniella_freteri,,,,,
Duncaniella.muris,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Duncaniella,Duncaniella_muris,,,,,
Duncaniella.sp..B8,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Duncaniella,Duncaneilla_sp_B8,,,,,
Enterococcus.faecalis,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus_faecalis,,,,,
Enterococcus.faecium,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus_faecium,,,,,
Enterococcus_u_t,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus_sp,,,,,
Enterorhabdus.caecimuris.B7,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Enterorhabdus,Enterorhabdus_caecimuris,,,,,
Enterorhabdus.mucosicola.DSM.19490,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Enterorhabdus,Enterorhabdus_mucosicola,,,,,
Enterorhabdus.sp..NM05_H27,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Enterorhabdus,Enterorhabdus_NM05_H27,,,,,
Eubacterium.plexicaudatum.ASF492,Bacteria,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,Eubacterium_plexicaudatum,,,,,
Eubacterium.sp..14.2,Bacteria,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,Eubacterium_sp_14_2,,,,,
Faecalibaculum.rodentium,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Faecalibacterium,Faecalibacterium_rodentium,,,,,
Fibrobacter.sp..UWB16,Bacteria,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,Fibrobacter_sp_UWB16,,,,,
Fibrobacter.sp..UWR2,Bacteria,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,Fibrobacter_sp_UWR2,,,,,
Heminiphilus.faecis,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Heminiphilus,Heminiphilus_faecis,,,,,
Jeotgalicoccus.nanhaiensis,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Jeotgalicoccus,Jeotgalicoccus_nanhaiensis,,,,,
Lachnoclostridium.sp..YL32,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lachnoclostridium,Lachnoclostridium_dp_YL32,,,,,
Lactobacillus.johnsonii.N6.2,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus_johnsonii,,,,,
Lactobacillus.murinus.ASF361,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Ligilactobacillus_murinus,,,,,
Lactobacillus.reuteri.TD1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus_reuteri,,,,,
Lactobacillus.sp..0.1XD8.4,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus_sp_01XD8_4,,,,,
Lactobacillus.sp..ASF360,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus_sp_ASF360,,,,,
Ligilactobacillus.animalis,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Ligilactobacillus_animalis,,,,,
Limosilactobacillus.reuteri.subsp..murium,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus_murinis,,,,,
Mammaliicoccus.lentus.F1142,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Mammaliicoccus,Mammaliicoccus_lentus,,,,,
Methanobrevibacter.smithii,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter_smithii,,,,,
Mucispirillum.schaedleri.ASF457,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae,Mucispirillum,Mucispirillum_schaedleri,,,,,
Muribaculum.sp..NM65_B17,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculum,Muribaculum_sp_NM65_B17,,,,,
Oscillibacter.sp..1.3,Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Oscillibacter,Oscillibacter_sp_1_3,,,,,
Parabacteroides.goldsteinii.CL02T12C30,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides_goldsteinii,,,,,
Parabacteroides.distasonis,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides_distasonis,,,,,
Paramuribaculum.intestinale,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Paramuribaculum,Paramuribaculum_intestinale,,,,,
Parasutterella.excrementihominis.YIT.11859,Bacteria,Proteobacteria,Betaproteobacteria,Burkeholderiales,Sutterellaceae,Parasutterella,Parasutterella_excrementihominis,,,,,
Prevotella.ruminicola.23,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_ruminicola,,,,,
Prevotella.brevis.ATCC.19188,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_brevis,,,,,
Prevotella.bryantii.B14,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_bryantii,,,,,
Prevotella.aff..ruminicola.Tc2.24_u_t,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_aff_ruminicola_Tc2_24,,,,,
Prevotella_u_t,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_sp,,,,,
Pseudobutyrivibrio.ruminis.AD2017,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Pseudobutyrivibrio,Pseudobutyrivibrio_ruminis,,,,,
Roseburia.sp..1XD42.69,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Roseburia,Roseburia_sp,,,,,
Ruminobacter.amylophilus,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Ruminobacter,Ruminobacter_amylophilus,,,,,
Ruminobacter.sp..RM87,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Ruminobacter,Ruminobacter_sp_RM87,,,,,
Ruminococcus.albus,Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,Ruminococcus_albus,,,,,
Ruminococcus.flavefaciens,Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,Ruminococcus_flavefasciens,,,,,
Ruminococcus.flavefaciens.MA2007,Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,Ruminococcus_flavefasciens,,,,,
Ruminococcus.sp..NK3A76,Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,Ruminococcus_NK3A76,,,,,
Sarcina.sp..DSM.11001,Bacteria,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Sarcina,Sarcina_sp,,,,,
Schaedlerella.arabinosiphila,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Schaedlerella,Schaedlerella_arabinosiphila,,,,,
Selenomonas.ruminantium.AB3002,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,Selenomonas_ruminantium,,,,,
Selenomonas.ruminantium.AC2024,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,Selenomonas_ruminantium,,,,,
Selenomonas_u_t,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,Selenomonas_sp,,,,,
Selenomonas.sp..FC4001,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,Selenomonas_sp_FC4001,,,,,
Staphylococcus.nepalensis,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus_nepalensis,,,,,
Staphylococcus.xylosus,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus_xylosus,,,,,
Staphylococcus.xylosus.DMB3.Bh1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus_xylosus,,,,,
Succiniclasticum.ruminis.DSM.9236,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Succiniclasticum,Succiniclasticum_ruminis,,,,,
Succinivibrio.dextrinosolvens.H5,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrio,Succinivibrio_dextrinosolvens,,,,,
Treponema_u_t,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Treponemataceae,Treponema,Treponema_SGB36322,,,,,
Burkholderiales_u_t,Bacteria,Proteobacteria,Betaproteobacteria,Burkeholderiales,Unknown,Unknown,spp,,,,,
Burkholderiales.bacterium.1_1_47,Bacteria,Proteobacteria,Betaproteobacteria,Burkeholderiales,Unknown,Unknown,spp,,,,,
Clostridiales.bacterium,Bacteria,Firmicutes,Clostridia,Eubacteriales,Unknown,Unknown,spp,,,,,
Firmicutes.bacterium.ASF500,Bacteria,Firmicutes,Bacilli,Unknown,Unknown,Unknown,spp,,,,,
Succinivibrionaceae_u_t,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Unknown,spp,,,,,
Lachnospiraceae.bacterium.10.1,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Unknown,Lachnospiraceae_bacterium_10_1,,,,,
Lachnospiraceae.bacterium.28.4,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Unknown,Lachnospiraceae_bacterium_28_4,,,,,
Lachnospiraceae.bacterium.3.1,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Unknown,Lachnospiraceae_bacterium_3_1,,,,,
Lachnospiraceae.bacterium.MD308,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Unknown,Lachnospiraceae_bacterium_MD308,,,,,
Lachnospiraceae.bacterium.A2,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Unknown,Lachnospiraceae_bacterium_A2,,,,,
Lachnospiraceae.bacterium.A4,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Unknown,Lachnospiraceae_bacterium_A4,,,,,
Lachnospiraceae.bacterium.C6A11,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Unknown,Lachnospiraceae_bacterium_C6A11,,,,,
Lachnospiraceae.bacterium.MD335,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Unknown,Lachnospiraceae_bacterium_MD335,,,,,
Lachnospiraceae.bacterium.M18.1,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Unknown,Lachnospiraceae_bacterium_M18_1,,,,,
Lachnospiraceae.bacterium.NK4A179,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Unknown,achnospiraceae_bacterium_NK4A179,,,,,
Lactobacillaceae.bacterium,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Unknown,spp,,,,,
Muribaculaceae.bacterium.Isolate.001..NCI.,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Unknown,spp,,,,,
Muribaculaceae.bacterium.Isolate.004..NCI.,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Unknown,spp,,,,,
Muribaculaceae.bacterium.Isolate.013..NCI.,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Unknown,spp,,,,,
Muribaculaceae.bacterium.Isolate.036..Harlan.,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Unknown,spp,,,,,
Muribaculaceae.bacterium.Isolate.037..Harlan.,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Unknown,spp,,,,,
Muribaculaceae.bacterium.Isolate.039..Harlan.,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Unknown,spp,,,,,
Muribaculaceae.bacterium.Isolate.043..Harlan.,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Unknown,spp,,,,,
Muribaculaceae.bacterium.Isolate.077..Janvier.,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Unknown,spp,,,,,
Muribaculaceae.bacterium.Isolate.080..Janvier.,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Unknown,spp,,,,,
Muribaculaceae.bacterium.Isolate.083..Janvier.,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Unknown,spp,,,,,
Muribaculaceae.bacterium.Isolate.102..HZI.,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Unknown,spp,,,,,
Muribaculaceae.bacterium.Isolate.104..HZI.,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Unknown,spp,,,,,
Muribaculaceae.bacterium.Isolate.105..HZI.,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Unknown,spp,,,,,
Muribaculaceae.bacterium.Isolate.110..HZI.,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Unknown,spp,,,,,
Prevotella.sp..MGM1,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_sp_MGM1,,,,,
Prevotellaceae.bacterium.HUN156,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Unknown,Prevotellaceae_bacterium_HUN156,,,,,
Prevotellaceae.bacterium.MN60,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Unknown,Prevotellaceae_bacterium_MN60,,,,,
Ruminococcaceae.bacterium.KH2T8,Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Unknown,Ruminococcaceae_bacterium_KH2T28,,,,,
Ruminococcaceae.bacterium.P7,Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Unknown,Ruminococcaceae_bacterium_P7,,,,,