Name,1142__FV-W4_CP04543,1139__FV-W4_CP04543,1136_FV-W4_CP04543,1144__FV-W4_CP04543,1141__FV-W4_CP04543,1138__FV-W4_CP04543,1140__FV-W4_CP04543,1137__FV-W4_CP04543,1145__FV-W4_CP04543,1143__FV-W4_CP04543,1146__FT-W4_CP04543,1150_FT-W4_CP04543,1149_FT-W4_CP04543,1152_FT-W4_CP04543,1153_FT-W4_CP04543,1148_FT-W4_CP04543,1155_FT-W4_CP04543,1147__FT-W4_CP04543,1154_FT-W4_CP04543,1151_FT-W4_CP04543
glycolysis III (from glucose),0.0227532,0.047419891,0,0,0.023216192,0.035848316,0.043439284,0.037519004,0.025516504,0.015682202,0.05110044,0,0,0.060167395,0,0,0.08884678,0.051208701,0,0.028668018
L-arginine biosynthesis I (via L-ornithine),0.0138976,0,0,0,0.009969126,0,0,0,0.012830102,0.010449802,0,0,0,0.0151227,0.0107548,0,0,0,0,0
L-arginine biosynthesis II (acetyl cycle),0.013585,0,0,0,0.010243697,0,0,0,0.014185802,0.011238101,0,0,0,0.017338598,0.010687101,0,0,0,0,0
chorismate biosynthesis I,0.011473401,0,0,0,0.005615789,0,0.008737027,0,0.007772542,0.009017381,0,0,0,0,0.00426704,0,0,0,0,0
superpathway of L-aspartate and L-asparagine biosynthesis,0.00543514,0.009762038,0,0,0.003273349,0.014644406,0.012344896,0.009041651,0.007686551,0,0,0,0,0,0,0.030463789,0.085906483,0.019127902,0,0.01456851
superpathway of branched chain amino acid biosynthesis,0.019952999,0,0.026082102,0,0.005913558,0,0.020572692,0,0.014288703,0.013997402,0,0,0,0,0.009657361,0,0,0.020578401,0,0
superpathway of coenzyme A biosynthesis III (mammals),0.0214175,0.015412198,0,0,0.019785194,0,0.012650495,0.017632103,0.021880304,0.019734804,0,0,0.059229277,0.036692496,0.026915502,0.031878587,0,0,0,0.019978512
coenzyme A biosynthesis I (prokaryotic),0.021162501,0.013616598,0,0,0.019083994,0,0.011475596,0.019250002,0.019660603,0.018992603,0.034436528,0,0.05903428,0.046421796,0.026527902,0.038524184,0,0.020107102,0,0.031300019
superpathway of aromatic amino acid biosynthesis,0.00757701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dTDP-&beta;-L-rhamnose biosynthesis,0.0137334,0.030974995,0.032557305,0.251578003,0.012439796,0.014075005,0.015825994,0.026966603,0.010560502,0.012983002,0.036458731,0,0.077458672,0.025635898,0.027430601,0.060684677,0.040381193,0.0237277,0.052687511,0.034584522
L-ornithine biosynthesis I,0.0104538,0,0,0,0.006485948,0,0,0,0.005967651,0.006018581,0,0,0,0.009989429,0.005550471,0,0,0,0,0
glycogen degradation I,0.00770232,0,0,0,0.005894388,0,0,0,0,0.004851951,0,0,0,0,0,0,0,0,0,0
glycogen biosynthesis I (from ADP-D-Glucose),0.0186457,0.019890398,0.062397406,0,0.012817197,0.023179207,0.013917094,0.015928002,0.013184903,0.012894502,0,0,0,0,0.016784402,0,0.052603092,0.008668371,0.023815306,0.019933313
L-isoleucine biosynthesis I (from threonine),0.020221099,0,0.030328203,0,0.006156728,0,0.021401592,0,0.014747303,0.014360101,0,0,0,0,0.00902056,0,0,0.021475701,0,0
lactose and galactose degradation I,0.0135951,0,0,0,0.007720777,0,0.011000196,0,0.011118102,0.010825101,0,0,0,0,0,0,0,0,0,0
methylerythritol phosphate pathway I,0.0110563,0,0.019173702,0,0.008802908,0,0,0,0.014266003,0.009159481,0,0,0,0,0.00915414,0,0,0,0,0
O-antigen building blocks biosynthesis (E. coli),0.00807131,0.019531298,0,0,0.014375896,0.013757706,0.013698095,0.017234601,0.009445922,0.012850001,0,0,0,0,0.022363301,0,0,0,0,0.029449617
pyruvate fermentation to acetate and (S)-lactate I,0.0307891,0.031903896,0.011879802,0,0.026372692,0.053624719,0.046362083,0.041814107,0.025688205,0.033149403,0.044690933,0,0,0,0.011983301,0,0.061852887,0.012738701,0.025979005,0.028095918
phosphopantothenate biosynthesis I,0.00520691,0.026891397,0,0,0,0.007024592,0.012958295,0,0.009921002,0.00345448,0,0,0,0.021399098,0,0,0,0.00721219,0,0
peptidoglycan biosynthesis I (meso-diaminopimelate containing),0.0132925,0,0.014365502,0,0.016741896,0.016672807,0.016633693,0.016081002,0.018901603,0.018542701,0,0,0,0.023200698,0.027480403,0,0,0.010977601,0,0.01498341
glycolysis IV,0.017969901,0.056407694,0.058716707,0.252775997,0.021279993,0.063573919,0.041779086,0.061548706,0.021493204,0.014845902,0.163609132,0.255688012,0.137824953,0.063022599,0.013365201,0.076199673,0.17978096,0.054176401,0.061844312,0.028127717
L-lysine biosynthesis II,0.0102982,0.008764098,0,0,0.010504697,0,0.015716294,0,0.012695002,0.009179452,0,0,0,0.0211333,0.018091001,0.032780387,0,0,0,0.011764907
L-lysine biosynthesis III,0.010339401,0.009164879,0,0,0.009321577,0,0.015036895,0,0.013818403,0.008273051,0,0,0,0.0195393,0.0086148,0.039870985,0.04588899,0,0.028017906,0.007887015
folate transformations II (plants),0.027198801,0.022109596,0.027110104,0,0.025571793,0.017628808,0.026769489,0.020564202,0.023384405,0.023021804,0,0,0,0.018322399,0.014796201,0.063788377,0,0.021533901,0.05283941,0.042710327
L-lysine biosynthesis VI,0.0102942,0.007156679,0,0,0.009840148,0,0.015111195,0.012697502,0.012417903,0.00867168,0,0,0,0.021023598,0.009499981,0.035428289,0.040354691,0,0.020114304,0.008773495
pyruvate fermentation to acetate and lactate II,0.0307891,0.031903896,0.011879802,0,0.026372692,0.053624719,0.046362083,0.041814107,0.025688205,0.033149403,0.044690933,0,0,0,0.011983301,0,0.061852887,0.012738701,0.025979005,0.028095918
L-isoleucine biosynthesis III,0.019005401,0,0.021791004,0,0.005285588,0,0.019666294,0,0.013265403,0.013461601,0,0,0,0,0.008520581,0,0,0.019301401,0,0
sucrose degradation IV (sucrose phosphorylase),0.00644226,0.018656597,0,0,0.010280596,0.013503305,0.010765295,0.014216302,0.011039302,0.005117901,0,0,0,0,0.007799121,0,0,0,0,0
CDP-diacylglycerol biosynthesis I,0.00582173,0,0.025813304,0,0.005193199,0.018322205,0.008741206,0,0,0.010714001,0,0,0,0,0.012860801,0,0,0.009942481,0,0.007363325
UMP biosynthesis I,0.016709,0.029309897,0.026546404,0,0.026055392,0,0.02348759,0.027799504,0.027098406,0.023047304,0.056530245,0.174970001,0,0.028116299,0.024444701,0,0,0.034719203,0.038510405,0.024695516
inosine 5'-phosphate degradation,0.020025,0.016549198,0.020648202,0,0.011086497,0.018440407,0,0.014168402,0.014529703,0.010741701,0,0,0,0,0.020721901,0,0.066449091,0,0,0.022172315
glycogen degradation II,0.021123599,0,0,0,0.017597694,0.023818009,0.022047393,0.011480202,0.020788103,0.015542702,0,0,0,0,0,0,0,0.015657401,0.037423108,0
CDP-diacylglycerol biosynthesis III,0.012936,0,0,0,0.014820595,0.023359608,0.014705395,0.017468903,0.011886503,0.012573701,0,0,0,0,0.0139853,0,0,0.009617181,0,0.021917915
5-aminoimidazole ribonucleotide biosynthesis I,0.0171865,0,0.034943506,0,0.015508696,0.019669607,0,0.012185502,0.012300703,0.013017902,0,0,0.08991047,0.026081098,0.027086303,0,0,0.0265522,0,0.020645414
5-aminoimidazole ribonucleotide biosynthesis II,0.022813501,0.008089709,0.041216608,0,0.016085295,0.022888707,0,0.010687201,0.014134603,0.013038302,0.067334659,0,0.084278971,0.029358698,0.029646901,0.040834986,0,0.0280037,0.025100505,0.019552112
inosine-5'-phosphate biosynthesis I,0.0154361,0.014635898,0,0,0.013536396,0.010323004,0.012630896,0.016647702,0.007739952,0.014330002,0,0,0,0.011630598,0.025648803,0,0,0.025140002,0.019306904,0.01612401
inosine-5'-phosphate biosynthesis II,0.0145708,0.013470998,0,0,0.015837194,0.009760683,0,0.016126001,0.019031404,0.013381902,0,0,0,0.010485799,0.025006101,0,0,0.024737502,0.017960003,0.014654909
S-adenosyl-L-methionine salvage I,0.0140187,0.010112599,0.025022903,0,0.019183494,0.034596115,0.015822694,0.022915201,0.017705904,0.018001303,0,0,0,0,0.026929701,0.043851085,0,0.012963301,0.034641806,0.022903414
chorismate biosynthesis from 3-dehydroquinate,0.0105788,0,0,0,0.004782358,0.008075763,0.007712737,0,0.006633931,0.008203532,0,0,0,0,0.005064701,0,0,0,0,0
isoprene biosynthesis I,0.00839441,0,0,0,0.007933567,0,0,0,0.012676602,0.007439811,0,0,0,0,0.007947931,0,0,0,0,0
superpathway of 5-aminoimidazole ribonucleotide biosynthesis,0.022813501,0.008089709,0.041216608,0,0.016085295,0.022888707,0,0.010687201,0.014134603,0.013038302,0.067334659,0,0.084278971,0.029358698,0.029646901,0.040834986,0,0.0280037,0.025100505,0.019552112
D-galactose degradation I (Leloir pathway),0.0173555,0,0,0,0.013496595,0.02579391,0.014372395,0.019526303,0.014977003,0.018166503,0,0,0,0,0.00872502,0,0,0,0,0.013909909
peptidoglycan biosynthesis III (mycobacteria),0.012233901,0.015474298,0.013832502,0,0.015673695,0.014267105,0.013428795,0.014742302,0.009496772,0.016184801,0,0,0,0.0181899,0,0,0,0.00957985,0,0.01577271
UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing),0.0190554,0.015700098,0.012832402,0,0.018168995,0.016943308,0.02371869,0.018115602,0.022561405,0.020826502,0,0,0,0,0.028943403,0,0,0.0110826,0,0.013943209
UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing),0.017589901,0.015232998,0.013695202,0,0.016156396,0.019176507,0.023594791,0.017128702,0.021815704,0.019610804,0,0,0,0.021533899,0.027588502,0,0,0.009636941,0.026453905,0.01582361
stachyose degradation,0.0210921,0.021515997,0.033734903,0,0.015130595,0.039413314,0.018622393,0.023493603,0.018499603,0.020232303,0,0,0.05813678,0,0.023703501,0,0,0,0,0.022522114
adenine and adenosine salvage III,0.019491401,0.016738398,0.047513306,0,0.018749593,0.024691811,0.035853487,0.021405304,0.023580203,0.011002001,0,0.219402,0.042475585,0.049310997,0.0224832,0,0.09190198,0.032815702,0.05115971,0.030684819
seleno-amino acid biosynthesis (plants),0.00884183,0.012024999,0,0,0.009351676,0.009284523,0.010755496,0,0.011822002,0.010736101,0,0,0,0,0.00677767,0,0,0.0113553,0.018569304,0
pyrimidine deoxyribonucleosides salvage,0.0216888,0,0.027169904,0.159401998,0.010872496,0,0.012134495,0.017093502,0.008884432,0.012110202,0,0,0,0,0,0,0,0.011428,0.073878512,0
guanosine ribonucleotides de novo biosynthesis,0.025532,0.035854895,0,0.190922007,0.015381495,0.037319615,0.030128088,0.027337804,0.023317104,0.018164903,0,0,0,0.021174598,0.028135201,0.053822279,0,0.026083602,0.050202809,0.04593673
sucrose biosynthesis II,0.0256502,0,0.062814407,0,0.017214894,0.020587107,0.021945091,0.009463902,0.023123704,0.015608101,0.057766747,0,0,0.022783399,0,0,0,0.022662302,0.032911606,0
methylerythritol phosphate pathway II,0.00784997,0,0,0,0.007791378,0,0,0,0.012967203,0.007536681,0,0,0,0,0.00798476,0,0,0,0,0
UMP biosynthesis II,0.016709,0.029309897,0.026546404,0,0.026055392,0,0.033192489,0.027799504,0.027098406,0.023047304,0.056530245,0.174970001,0,0.028116299,0.024444701,0,0.06911619,0.034719203,0.038510405,0.024695516
UMP biosynthesis III,0.016709,0.029309897,0.026546404,0,0.026055392,0,0.02348759,0.027799504,0.027098406,0.023047304,0.056530245,0.174970001,0,0.028116299,0.024444701,0,0,0.034719203,0.038510405,0.024695516
coenzyme A biosynthesis II (eukaryotic),0.01908,0.013616598,0,0,0.019083994,0,0.011475596,0.016246902,0.019660603,0.018992603,0,0,0.05903428,0.037619498,0.026527902,0.029495988,0,0.0200892,0,0.01741061
L-arginine degradation XIII (reductive Stickland reaction),0.00432614,0.017338598,0,0,0.011172797,0.012039104,0.009628627,0,0.011562402,0.015098002,0,0,0,0,0.010636401,0,0,0.016782101,0,0.008200475
purine ribonucleosides degradation,0.012877099,0.015330498,0.044829607,0,0.013846196,0.021030707,0.021510992,0.017992003,0.008966942,0.009306921,0,0,0,0.030691499,0.021526001,0,0,0.0266877,0,0.025873715
CDP-diacylglycerol biosynthesis II,0.00582173,0,0.025813304,0,0.005193199,0.018322205,0.008741206,0,0,0.010714001,0,0,0,0,0.012860801,0,0,0.009942481,0,0.007363325
peptidoglycan maturation (meso-diaminopimelate containing),0.00784531,0,0,0,0.006028718,0,0,0,0.004188961,0.006832371,0,0,0,0,0,0,0,0,0.020327004,0.010170306
phosphatidylglycerol biosynthesis I (plastidic),0.00614831,0,0,0,0,0,0,0,0,0.006573081,0,0,0,0,0,0,0,0.00829339,0,0
phosphatidylglycerol biosynthesis II (non-plastidic),0.00614831,0,0,0,0,0,0,0,0,0.006573081,0,0,0,0,0,0,0,0.00829339,0,0
superpathway of L-threonine biosynthesis,0.00525185,0.008352109,0,0,0.004139229,0,0.016093794,0.008825871,0.008453782,0.005978131,0,0,0,0.023578899,0,0.044512983,0,0.022534402,0.015741004,0.016393811
tRNA charging,0.0242598,0.035256296,0,0,0.022575593,0.024571911,0.02672649,0.030267203,0.022045704,0.024578003,0,0,0,0.034332696,0.037690602,0.107501961,0,0.019225601,0,0.037497323
UDP-N-acetyl-D-glucosamine biosynthesis I,0.0331643,0.018099196,0,0,0.024754293,0.034474514,0.023650292,0.033725902,0.025209004,0.025886403,0.029738223,0,0,0.040416397,0.022409601,0,0,0.032636002,0.029523205,0.042650726
L-valine biosynthesis,0.020491401,0.022920799,0.084952407,0,0.007702648,0.03168321,0.02435809,0.045722004,0.016664103,0.015355202,0.082632169,0,0.141580954,0.029526997,0.009558361,0.091185763,0.06134209,0.023407001,0.059415512,0.010366007
homolactic fermentation,0,0.028825695,0,0,0.010650997,0,0,0,0,0.007937391,0,0,0,0,0,0,0,0,0,0
gluconeogenesis I,0,0.024798797,0,0,0.010574697,0,0,0,0,0.007189721,0.103464082,0,0,0,0,0,0,0.028406601,0,0
glycolysis I (from glucose 6-phosphate),0,0.034513596,0,0,0.015101095,0.035536412,0,0,0,0.011717701,0,0,0,0,0,0,0,0,0,0
superpathway of coenzyme A biosynthesis I (bacteria),0,0.013244999,0,0,0,0,0,0,0.009802932,0.005555581,0,0,0,0.023578798,0,0,0,0,0,0
polyisoprenoid biosynthesis (E. coli),0,0.014381798,0,0,0.003505379,0,0,0,0,0.00370769,0,0,0,0,0,0,0,0,0,0
glycolysis II (from fructose 6-phosphate),0,0.028981797,0,0,0.013252396,0.031284411,0,0,0,0.009290871,0,0,0,0,0,0,0,0,0,0
all-trans-farnesol biosynthesis,0,0.011861598,0,0,0.004240369,0,0,0,0,0.003890191,0,0,0,0,0,0,0,0,0,0
L-methionine biosynthesis II,0,0.014230798,0,0,0,0,0,0,0.006633721,0,0,0,0,0,0.00812111,0.041261382,0,0.006344411,0,0.006941484
pyruvate fermentation to isobutanol (engineered),0,0.018565299,0,0,0.008013408,0.017825706,0.013967895,0.028735304,0.008603192,0.010075201,0,0,0,0,0,0,0.05372259,0,0.037152205,0
inosine-5'-phosphate biosynthesis III,0,0.009613968,0,0,0.010572197,0,0,0.014649902,0.004707801,0.004147581,0,0,0,0,0.0183996,0,0,0,0,0.011402007
fatty acid biosynthesis initiation (mitochondria),0,0.009081839,0,0,0,0,0,0,0,0,0.047152039,0,0.071337767,0.016712599,0.0118001,0.033556685,0,0.0139896,0,0
queuosine biosynthesis I (de novo),0,0,0.022935102,0,0,0,0,0,0,0,0,0,0,0.016914198,0.00642932,0.025731292,0,0.0269932,0,0.013590009
dTDP-N-acetylthomosamine biosynthesis,0,0,0.012345402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing),0,0,0.012749601,0,0,0.014754105,0.013454395,0.015828002,0,0,0,0,0,0,0,0,0,0,0,0.009787146
NAD de novo biosynthesis I (from aspartate),0,0,0,0.145321995,0,0,0.011787196,0,0,0,0,0,0,0,0.018480001,0,0,0,0,0
L-lysine biosynthesis I,0,0,0,0,0.003393389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation",0,0,0,0,0.004842818,0,0,0,0,0.00393565,0,0,0,0,0.00671707,0,0,0,0.018324403,0
GABA shunt,0,0,0,0,0.005573278,0,0,0.010344601,0,0.00292571,0,0,0,0.0107119,0,0,0,0,0,0.009155866
L-methionine biosynthesis III,0,0,0,0,0.003307169,0,0,0,0.002890761,0.005620961,0,0,0,0,0,0,0,0,0,0
superpathway of L-isoleucine biosynthesis I,0,0,0,0,0.004476869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP),0,0,0,0,0.006253038,0,0,0,0,0.005904361,0,0,0,0,0,0,0,0,0,0
L-arginine biosynthesis III (via N-acetyl-L-citrulline),0,0,0,0,0.004861758,0,0,0,0.005515541,0,0,0,0,0,0,0,0,0,0,0
superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate),0,0,0,0,0.005025968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thiamine diphosphate salvage II,0,0,0,0,0.002046909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"superpathway of L-lysine, L-threonine and L-methionine biosynthesis II",0,0,0,0,0.004741209,0,0,0.011426701,0,0.007048751,0,0,0,0,0,0.037791684,0,0,0,0.010360106
thiamine phosphate formation from pyrithiamine and oxythiamine (yeast),0,0,0,0,0.002716549,0,0,0.008341081,0,0,0,0,0,0,0,0,0,0.00538021,0,0
taxadiene biosynthesis (engineered),0,0,0,0,0.005670458,0,0,0,0,0.005342301,0,0,0,0,0,0,0,0,0,0
L-arginine biosynthesis IV (archaebacteria),0,0,0,0,0.009150087,0,0,0,0.012067602,0,0,0,0,0,0,0,0,0,0,0
Entner-Doudoroff pathway I,0,0,0,0,0.008206198,0,0,0,0,0.011950201,0,0,0,0,0,0,0,0,0,0
mevalonate pathway I (eukaryotes and bacteria),0,0,0,0,0.006599838,0,0,0,0.005470731,0,0,0,0,0,0,0,0,0,0,0
L-cysteine biosynthesis VI (from L-methionine),0,0,0,0,0.005556698,0.011700205,0,0.007154061,0.006951641,0.004606001,0,0,0,0,0.0151008,0,0,0.008002561,0,0.016350711
preQ0 biosynthesis,0,0,0,0,0,0,0,0.006677291,0,0,0,0,0,0,0,0,0,0,0,0
superpathway of thiamine diphosphate biosynthesis III (eukaryotes),0,0,0,0,0,0,0,0.007683471,0,0,0,0,0,0,0,0,0,0,0,0
cis-vaccenate biosynthesis,0,0,0,0,0,0,0,0,0.00282846,0,0,0,0,0,0.00553214,0,0,0,0,0
gondoate biosynthesis (anaerobic),0,0,0,0,0,0,0,0,0.00244966,0,0,0,0,0,0.00474231,0,0,0,0,0
L-rhamnose degradation I,0,0,0,0,0,0,0,0,0,0,0,0,0.035418987,0,0,0,0,0,0,0
6-hydroxymethyl-dihydropterin diphosphate biosynthesis I,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012650699,0,0,0,0,0,0