Name,1182_M-BL_CP04543-B,1156_M-BL_CP04543-B,1178_M-BL_CP04543-B,1164_M-BL_CP04543-B,1160_M-BL_CP04543-B,1184_M-BL_CP04543-B,1180_M-BL_CP04543-B,1174_M-BL_CP04543-B,1168_M-BL_CP04543-B,1136_F-BL_CP04543-B,1150_F-BL_CP04543-B,1138_F-BL_CP04543-B,1140_F-BL_CP04543-B,1152_F-BL_CP04543-B,1148_F-BL_CP04543-B,1170_M-BL_CP04543-B,1142_F-BL_CP04543-B,1154_F-BL_CP04543-B,1146_F-BL_CP04543-B,1144_F-BL_CP04543-B
folate transformations III (E. coli),0.013640908,0.012613896,0.012769596,0.016453404,0.013954001,0.021622097,0,0.00918691,0.015916897,0.0132567,0,0.00902941,0.013951799,0,0,0.00973295,0.012856296,0.009002354,0,0.012646401
homolactic fermentation,0.011585706,0.008290517,0.027475592,0,0.013399701,0.015599898,0,0,0.011427497,0,0.018528705,0,0.013960299,0,0,0,0,0.018583909,0.008976279,0.012492101
glycolysis III (from glucose),0.022978211,0.037218791,0.040764887,0.03264581,0.024507601,0.024949398,0,0.024598699,0.035532992,0.0212465,0.031930707,0.0245221,0.0323915,0.040632397,0,0.036155399,0.028676793,0.034374215,0.022596996,0.031978805
superpathway of L-aspartate and L-asparagine biosynthesis,0.004982322,0.004676409,0.011664797,0,0,0.009017619,0,0.00233261,0.007241389,0,0.005613932,0,0.00515974,0,0,0,0,0.007504103,0,0.006877101
Calvin-Benson-Bassham cycle,0.006900124,0.005439928,0,0,0,0.017037697,0,0,0,0,0,0,0,0,0,0,0,0,0.009072968,0
superpathway of coenzyme A biosynthesis III (mammals),0.015582708,0,0,0.015480704,0.0158932,0.016338198,0.011780907,0.0160268,0.016226497,0.0143428,0.008083942,0.019401001,0.012339098,0.0219633,0,0.0136986,0.016055595,0.009742744,0.006412959,0.013790402
coenzyme A biosynthesis I (prokaryotic),0.01828781,0.012530596,0.018015094,0.026519706,0.014042402,0.016449196,0.010582707,0.028655099,0.019778196,0.0148793,0.010745004,0.017983999,0.017589899,0.0305626,0,0.012261401,0.024001693,0.023465911,0.005342619,0.013775001
superpathway of adenosylcobalamin salvage from cobinamide I,0.003278182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00397136,0,0,0,0
dTDP-&beta;-L-rhamnose biosynthesis,0.016299108,0.030629292,0.022465592,0.027660908,0.013746501,0.024966696,0.032372218,0.0176851,0.014316698,0.0220345,0.013459304,0.028817698,0.019115098,0.0366925,0,0.012686701,0.015475496,0.028872613,0.027544796,0.021637902
gluconeogenesis I,0.01804591,0.021411693,0.043884289,0.018303005,0.014727601,0.031924296,0,0.0114534,0,0,0,0,0.019864699,0,0,0,0.016662596,0.015158507,0,0.011278801
GABA shunt,0.003885722,0,0,0,0,0,0,0,0,0,0.003356491,0,0,0,0,0,0,0,0,0
glycogen degradation I,0.003226322,0,0,0,0.006596971,0,0,0,0,0,0.006243052,0,0,0,0,0,0,0,0,0.0035836
glycogen biosynthesis I (from ADP-D-Glucose),0.006632983,0.018652594,0,0,0.033279303,0,0.029584819,0.00695832,0.014221398,0.040960602,0.017078906,0.058323897,0.007896089,0.040817,0.052519873,0.018945601,0.015588596,0.013541206,0.037533093,0.00673801
superpathway of glycolysis and the Entner-Doudoroff pathway,0.005073072,0,0,0,0,0,0,0,0,0,0,0,0.008823309,0,0,0,0,0.007696633,0,0
glycolysis I (from glucose 6-phosphate),0.022393011,0.030499792,0.039723884,0.024650907,0.0249332,0.023817897,0,0.024599599,0.035137493,0.0221771,0.022781808,0,0.0283443,0.040518101,0,0.030713001,0.030870091,0.029114112,0.021215497,0.021597201
L-histidine biosynthesis,0.005687322,0.010936596,0,0,0.00825435,0,0,0,0,0.009747559,0,0.014898401,0.007659359,0.0145085,0,0,0,0,0.009295818,0.008722451
L-methionine biosynthesis III,0.006971394,0.004926798,0,0.007519062,0.00667594,0.018317597,0.007725585,0.00570965,0.009339768,0,0,0.00962729,0.009200929,0.0151505,0,0.010299101,0.005817899,0.004461332,0,0.008651691
lactose and galactose degradation I,0.007088374,0,0,0,0,0,0,0.00985701,0.006043449,0,0,0,0,0,0,0,0,0,0,0
methylerythritol phosphate pathway I,0.011123005,0.016773693,0.018193694,0.018027404,0.0114761,0.027549798,0.023525914,0.0125485,0.019061195,0,0.008256633,0.014496099,0.011295999,0.0169899,0,0.015499501,0.018187296,0.011771505,0.015068198,0.017341303
pentose phosphate pathway (non-oxidative branch) I,0.002162981,0.00144231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002974639,0
O-antigen building blocks biosynthesis (E. coli),0.010409105,0.009541277,0.012400196,0.012460303,0.00677745,0,0,0.0116951,0.007777659,0,0.013894404,0,0.014302598,0,0,0,0.016441297,0.008764974,0,0.009607491
pyruvate fermentation to acetate and (S)-lactate I,0.008545195,0.013528896,0.015475195,0.017950404,0.00885755,0.011584098,0.014463609,0.00752649,0.013469698,0.0103062,0.018699506,0.00961971,0.013195598,0,0,0.011479801,0.018806495,0.016291607,0.005142009,0.012623101
phosphopantothenate biosynthesis I,0.010300305,0.012204496,0.009906417,0.014934904,0.008836671,0.016539298,0.01532081,0.004152,0.014910897,0.00946982,0.004886781,0,0.009170629,0.0109684,0,0.014371801,0.008991158,0.006375773,0,0.010741301
superpathway of coenzyme A biosynthesis I (bacteria),0.012511806,0,0,0.017325405,0.00781165,0.016221898,0.011349407,0.00732352,0.008076768,0.0120559,0.006115212,0,0.008583039,0.0157545,0,0.012991401,0.013038596,0.009656563,0,0.010538501
pentose phosphate pathway,0.002378221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peptidoglycan biosynthesis I (meso-diaminopimelate containing),0.015111408,0.020764094,0.011433496,0.012959603,0.0108773,0.013189498,0.017630812,0.0217933,0.017754097,0.0174015,0.010076803,0.0126111,0.017361799,0.0157206,0,0.016115701,0.021498295,0.014945306,0.013081597,0.015716702
polyisoprenoid biosynthesis (E. coli),0.004127362,0,0.007544777,0,0.00414104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
glycolysis IV,0.020912912,0.049535587,0.055586584,0.055044815,0.030006804,0.050397296,0.062120341,0.020152999,0.036193494,0.035498701,0.045254614,0.052064698,0.027336299,0.0652382,0.125629932,0.042449903,0.032772891,0.034316014,0.074903086,0.033980105
L-lysine biosynthesis II,0.008923474,0.006211318,0.013418196,0,0.007536361,0,0,0.011808,0,0,0.007265432,0,0.007810859,0,0,0,0,0.008919074,0.009496938,0.00737601
L-lysine biosynthesis III,0.011454105,0.007049238,0.017703194,0.011124603,0.009513831,0.007260449,0.01670211,0.0113768,0.010682098,0.0112903,0.008143223,0.0114921,0.007409089,0.010288,0,0.013684901,0,0.008444853,0.017700996,0.010169701
folate transformations II (plants),0.016672108,0.023281893,0.020646093,0.027848206,0.025923701,0.031041596,0.023921214,0.021076199,0.023280194,0.0232685,0.017996406,0.0127216,0.020867998,0.0176936,0.020228589,0.009859011,0.023408193,0.018455409,0.016598998,0.026809702
L-lysine biosynthesis VI,0.010801205,0.007798147,0.013153496,0.011470203,0.009870731,0.007954479,0.01667201,0.0118409,0.010151398,0.012493799,0.008577842,0.012393599,0.0083504,0.0118296,0,0.014677601,0,0.009088324,0.018329497,0.010574101
pyruvate fermentation to acetate and lactate II,0.008545195,0.013528896,0.015475195,0.017950404,0.00885755,0.013840498,0.014463609,0.00752649,0.013469698,0.010540701,0.018699506,0.00961971,0.013195598,0,0,0.011479801,0.018806495,0.016291607,0.005142009,0.012623101
superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP),0.005712133,0,0.010389796,0,0.007272671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sucrose degradation IV (sucrose phosphorylase),0.004837922,0,0,0,0,0,0,0.00463548,0.007819478,0,0,0,0.00536587,0,0,0,0.007618638,0,0,0.00355956
glycolysis II (from fructose 6-phosphate),0.021395709,0.027311191,0.039296687,0.021540307,0.019435501,0.017305497,0,0.022205802,0.035252493,0.015223,0.021201607,0,0.025338998,0.034198899,0,0.029370302,0.022832895,0.028216513,0.016657695,0.020875501
CDP-diacylglycerol biosynthesis I,0.005130782,0.010611297,0,0,0.008275581,0,0.019521814,0,0.012417398,0.0164825,0.011565204,0.021140199,0,0,0,0.00881681,0,0.005993083,0,0.00308917
UMP biosynthesis I,0.028342713,0.023146793,0.025107492,0.020684006,0.025189402,0.031929996,0.018265812,0.030611301,0.028746795,0.0150911,0.024222909,0.016998401,0.021051399,0.030551199,0,0.034823,0.025294894,0.018030608,0.030938495,0.0205971
inosine 5'-phosphate degradation,0.006314233,0.006034288,0,0.006145222,0.0069906,0,0.011863908,0.00608127,0,0.00744849,0.008056362,0.017538499,0.011780099,0,0,0.008483331,0.007725448,0,0,0.006947661
glycogen degradation II,0.003848242,0.006723988,0,0,0.00928626,0,0,0,0,0.01355,0.012842104,0,0,0.0120613,0,0,0,0,0,0.004347
cis-vaccenate biosynthesis,0.013908207,0.012213897,0,0.018837204,0.010051001,0.016163997,0.005759234,0.0103749,0.006441769,0.00645372,0,0,0.00366171,0.0131134,0,0.014929702,0.016601196,0.007190553,0.010603398,0.0114021
CDP-diacylglycerol biosynthesis III,0.007732894,0.005363078,0,0,0,0.007484829,0,0,0.011580498,0.011458401,0.012567004,0.0100671,0,0,0,0.009852881,0.022800595,0.009372054,0,0.0035445
5-aminoimidazole ribonucleotide biosynthesis I,0.010137005,0.015269196,0.022498593,0.012004803,0.019791001,0.013830598,0.026721917,0.019587401,0.009192458,0.026012599,0.012430604,0.01183,0.011070699,0.0137613,0.05510537,0.0129636,0.009899178,0.015626106,0.022928895,0.014313001
5-aminoimidazole ribonucleotide biosynthesis II,0.010511105,0.018175693,0.021278493,0.011099403,0.021639902,0.014954598,0.034397624,0.020795699,0.009021988,0.028984599,0.015192305,0.025283301,0.013877299,0.0121768,0.072607063,0.017256601,0.009379758,0.016710008,0.023135396,0.015914202
inosine-5'-phosphate biosynthesis I,0.013813907,0.015894195,0.016987296,0.010312703,0,0,0,0.023331901,0.010048298,0.0137073,0.005812552,0.00843835,0.018516799,0.0131943,0,0.0102931,0.024482094,0.018489609,0.008181059,0.012764901
inosine-5'-phosphate biosynthesis II,0.012457906,0.014466195,0.015418395,0.009006522,0,0,0,0.0220879,0.005624729,0.0120283,0.004382531,0,0.017541099,0.0113878,0,0.00914763,0.023894394,0.016745308,0,0.0113113
S-adenosyl-L-methionine salvage I,0.018669609,0.020198394,0.020137593,0.024030106,0.014739501,0.008866639,0.012825307,0.0138053,0.030356495,0.036993198,0.010374404,0.020845,0.0105369,0.036525302,0.031473584,0.021796303,0.025970593,0.017470608,0.010372798,0.013990401
chorismate biosynthesis from 3-dehydroquinate,0.003559532,0,0,0.005458481,0,0,0.014422809,0,0.008062379,0.0130696,0.007552802,0.0141743,0,0.009402639,0.023603588,0.008850361,0.009232798,0.009542785,0.012165698,0.007821991
isoprene biosynthesis I,0.009520135,0,0.014588896,0,0.00859368,0,0,0.011217,0.014650297,0,0.007217902,0,0.008740259,0,0,0,0.012830997,0,0,0.00892097
superpathway of 5-aminoimidazole ribonucleotide biosynthesis,0.010511105,0.018175693,0.021278493,0.011099403,0.021639902,0.014954598,0.034397624,0.020795699,0.009021988,0.028984599,0.015192305,0.025283301,0.013877299,0.0121768,0.072607063,0.017256601,0.009379758,0.016710008,0.023135396,0.015914202
D-galactose degradation I (Leloir pathway),0.010036305,0.004716998,0,0,0.0120531,0,0,0.00864706,0.006986429,0.00761356,0.009317073,0,0.009907669,0,0,0.0105258,0.014796397,0.008833574,0.009640289,0.00535216
peptidoglycan biosynthesis III (mycobacteria),0.014431607,0.020849895,0.010974397,0.012933303,0.0105533,0.013183199,0.015408809,0.019654801,0.017664397,0.016867001,0.011456303,0.0126111,0.0167298,0.0194839,0,0.014997201,0.018104995,0.014443806,0.014533398,0.0123196
UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing),0.014530507,0.015344795,0.010601697,0.009487882,0,0,0,0.021804301,0.018668097,0.012938901,0.012641603,0.0136364,0.014476598,0.0172235,0,0.0130941,0.023604594,0.016303107,0.009601518,0.012389201
UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing),0.015069108,0.020954693,0.010836797,0.011900703,0.010228401,0.011785899,0.01789071,0.020797199,0.017409896,0.017594401,0.013945905,0.0195676,0.0165303,0.017653501,0,0.015369001,0.020424796,0.014841407,0.013499998,0.016520303
stachyose degradation,0.009041254,0.005429088,0.008502017,0,0.015519401,0,0,0.016811499,0.005098479,0.0141771,0,0,0.010809,0,0,0.009570201,0.021480495,0.009218214,0.022600396,0.00362222
guanosine nucleotides degradation II,0.003805272,0,0,0,0,0.00520158,0,0,0,0,0,0.00528918,0,0,0,0,0,0,0,0
guanosine nucleotides degradation I,0.003805272,0,0,0,0,0,0,0,0,0,0,0.00528918,0,0,0,0,0,0,0,0
guanosine nucleotides degradation III,0.003748212,0,0,0,0,0,0,0,0,0,0,0.00736737,0,0,0,0,0,0,0,0
adenine and adenosine salvage III,0.014079007,0.015596995,0,0.006993292,0.0170452,0,0.052888732,0.0105647,0,0.0192375,0.019102706,0.029712198,0.016485799,0,0.049012173,0.012890601,0.011577197,0.026250813,0.009269319,0.0110981
queuosine biosynthesis I (de novo),0.014408107,0.026646992,0.018508995,0.033452906,0.018834101,0.022116497,0.023974815,0.021221699,0.022996195,0.022737699,0.005761312,0.0154511,0.023876399,0.025278499,0.017491391,0.0215392,0.027333692,0.016856506,0.010579399,0.0228342
preQ0 biosynthesis,0.011138005,0.011289596,0,0.009077172,0.010957801,0.022537997,0.012039808,0.0100526,0.013311997,0.00923213,0.002980681,0,0.013608299,0.0189781,0.024902187,0.0118003,0.017629595,0.007934813,0.012281998,0.00793926
all-trans-farnesol biosynthesis,0.003085461,0,0.005934868,0,0.00368963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thiamine diphosphate salvage II,0.008022654,0.003211129,0,0.011022703,0,0.015440898,0,0,0,0,0,0,0.0074009,0,0,0,0,0.007675333,0,0.00544679
superpathway of glucose and xylose degradation,0.004069292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seleno-amino acid biosynthesis (plants),0.006251233,0.002931379,0,0,0.005825771,0,0,0,0.006198339,0,0.005640452,0,0.00287322,0,0,0,0,0,0,0
L-methionine biosynthesis II,0.005325593,0,0,0,0,0,0,0,0,0,0,0,0.00343641,0,0,0,0,0,0,0
pyruvate fermentation to isobutanol (engineered),0.012082806,0.013641397,0.020369895,0,0.019484701,0.015939798,0,0.0049748,0,0,0.010309303,0,0.0113697,0,0,0.011733001,0,0,0,0.007662161
pyrimidine deoxyribonucleosides salvage,0.014041407,0.016365996,0.012839996,0.015727304,0.021330502,0.033133395,0.01586991,0.0127835,0.013810698,0.0121682,0.010617503,0.017408401,0.012150199,0,0.031850483,0.016745601,0,0.015591407,0.017852897,0.0172667
guanosine ribonucleotides de novo biosynthesis,0.015171607,0.013685396,0.026061492,0.020331506,0.023483502,0.034115795,0.01626301,0.028437,0.029661095,0.0314437,0.015460105,0.0181654,0.020140398,0.0278759,0,0.026046701,0,0.025735911,0.008881338,0.019640401
inosine-5'-phosphate biosynthesis III,0.004548962,0.004488369,0,0,0,0,0,0.0110302,0.007058379,0,0.005812552,0,0.009448879,0,0,0,0,0.008212144,0,0
sucrose biosynthesis II,0.003373342,0.006433898,0,0,0.008039181,0,0.01502521,0,0,0.025286499,0.013810204,0.0259746,0,0.013233201,0.032998785,0,0,0,0,0.00347831
"superpathway of L-lysine, L-threonine and L-methionine biosynthesis II",0.009619655,0,0.013027496,0.008350312,0.00701801,0,0,0.0107322,0,0,0.003743981,0,0.007003259,0,0,0,0,0,0,0.00657838
thiamine phosphate formation from pyrithiamine and oxythiamine (yeast),0.006098953,0.002247249,0.010710096,0.008265181,0,0.012173899,0,0,0,0,0,0,0.005955569,0,0,0,0,0.006500873,0,0.00438075
taxadiene biosynthesis (engineered),0.005135443,0,0.009765198,0,0.006265711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
methylerythritol phosphate pathway II,0.009519955,0,0.014154496,0,0.008696861,0,0,0.011531,0.014215297,0,0.007147162,0,0.008585829,0,0,0,0.012740497,0,0,0.008199641
gondoate biosynthesis (anaerobic),0.012386006,0.010263197,0,0.016141804,0.00847932,0.013677198,0.004721043,0.009344321,0.005350209,0.00528686,0,0,0.0029812,0.011024901,0,0.0127696,0.015224095,0.006118802,0.009156669,0.009763501
UMP biosynthesis II,0.028342713,0.023146793,0.025107492,0.020684006,0.025189402,0.031929996,0.018265812,0.030611301,0.028746795,0.0150911,0.024222909,0.016998401,0.021051399,0.030551199,0,0.034823,0.025294894,0.018030608,0.030938495,0.0205971
UMP biosynthesis III,0.028342713,0.023146793,0.025107492,0.020684006,0.025189402,0.031929996,0.018265812,0.030611301,0.028746795,0.0150911,0.024222909,0.016998401,0.021051399,0.030551199,0,0.034823,0.025294894,0.018030608,0.030938495,0.0205971
coenzyme A biosynthesis II (eukaryotic),0.01828781,0,0,0.015675604,0.014042402,0.016449196,0.010582707,0.0260446,0.017485697,0.0148793,0.007380973,0.017983999,0.015709899,0.0305626,0,0.0122416,0.022380795,0.016049407,0.005342619,0.013775001
UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing),0.014689407,0.014131095,0.008594757,0.007979652,0,0,0,0.016473198,0.014884097,0.018402901,0.013959705,0.0114461,0.011852999,0.013184,0,0.011631601,0.017983297,0.014130605,0.008051149,0.010529401
L-methionine biosynthesis IV,0.010251406,0.003893629,0.014657595,0.013229203,0.010332,0,0.018305313,0.0100935,0.012283097,0.00940195,0,0.00757841,0.008902219,0.009677731,0,0.016050801,0.011417497,0.008974724,0,0.009137621
Entner-Doudoroff pathway I,0.005081103,0,0,0,0,0,0,0,0,0,0,0,0.00895857,0,0,0,0,0.007615023,0,0
pentose phosphate pathway (non-oxidative branch) II,0.003597112,0.002614069,0,0,0,0.00962023,0,0,0,0,0,0,0,0,0,0,0,0,0.005211629,0
L-arginine degradation XIII (reductive Stickland reaction),0.009144505,0.009128477,0,0,0.004419331,0,0.008735736,0,0.007300708,0.009878281,0.006584772,0.008533509,0.007550229,0,0,0.00445792,0,0.004618852,0,0.00389727
L-cysteine biosynthesis VI (from L-methionine),0.010298906,0.007616428,0.018155895,0.015203904,0,0.007273819,0,0.0134256,0.005005859,0.00530505,0.006390172,0,0.009950629,0.018018,0,0.017477002,0.014774497,0.011531405,0,0.012266201
purine ribonucleosides degradation,0.013079806,0.014090995,0,0.006381711,0.0143215,0,0.047686029,0.010909299,0,0.0180283,0.019795505,0.0268516,0.014647399,0,0.031522185,0.011075901,0.008491818,0.015656307,0.009071768,0.00778557
CDP-diacylglycerol biosynthesis II,0.005130782,0.010611297,0,0,0.008275581,0,0.019521814,0,0.012417398,0.0164825,0.011565204,0.021140199,0,0,0,0.00881681,0,0.005993083,0,0.00308917
peptidoglycan maturation (meso-diaminopimelate containing),0.002759781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fatty acid biosynthesis initiation (mitochondria),0.011964605,0.006496278,0.038989685,0.017218806,0,0.013151399,0,0.015877999,0.007594978,0.012858,0.003509901,0,0.017116498,0,0,0,0.019881595,0.012527906,0.016907597,0.014778201
NAD de novo biosynthesis I (from aspartate),0.014066607,0.010575796,0,0.011989803,0.0169816,0.014349498,0.024570115,0.0197012,0.018530596,0.017026501,0.010900403,0.0100471,0.014598399,0.0184456,0,0.012395101,0.019435795,0.011765406,0.018445397,0.015430001
adenosine nucleotides degradation II,0.003497152,0,0,0,0,0,0,0,0,0,0,0.0066692,0,0,0,0,0,0,0,0
superpathway of L-threonine biosynthesis,0.006473613,0,0.018271694,0.010754302,0.009442981,0,0,0.0100122,0,0,0.002665181,0,0.008553799,0.0107802,0,0,0.013427697,0.007583873,0,0.007613811
tRNA charging,0.025968112,0.029064791,0,0.033888407,0.022423903,0.031743396,0.034761321,0.031527802,0.025896296,0.0245355,0.023289008,0.0235379,0.032316897,0.0289925,0,0.027315002,0.038242992,0.029910414,0.023863396,0.027642902
UDP-N-acetyl-D-glucosamine biosynthesis I,0.009090015,0.007792587,0.020109193,0.010716302,0.00615165,0,0,0.019685499,0.006852258,0,0.015386705,0,0.014509699,0,0,0.014615402,0.022149595,0.006991903,0,0.00820672
L-valine biosynthesis,0.014188007,0.03613599,0.024036894,0.026823308,0.040427003,0.046759892,0.077327147,0.00848326,0.05108979,0.058672603,0.03145951,0.0844374,0.0200154,0.047066301,0.178452909,0.044495001,0.012409197,0.033737212,0.086194985,0.0253352
L-arginine biosynthesis II (acetyl cycle),0,0.008721016,0,0,0.016465101,0,0,0.00505691,0,0,0.013466004,0.020950802,0.003829,0,0,0.009385261,0,0,0.025839295,0
superpathway of branched chain amino acid biosynthesis,0,0.005844528,0,0.021448005,0.0090161,0,0.01588591,0.00530206,0.006644299,0,0.010245403,0,0.010751899,0,0.044088479,0,0,0.008212213,0,0.020922501
L-isoleucine biosynthesis I (from threonine),0,0.006867768,0,0.022401307,0.0104555,0,0.018750612,0.00581434,0.007982778,0,0.012048103,0,0.012241099,0,0.067194261,0,0,0.009443284,0,0.022103801
L-isoleucine biosynthesis III,0,0.004586549,0,0.019755905,0.00714564,0,0.012777508,0.00458175,0.005281909,0,0.008636193,0,0.0096299,0,0.048407577,0,0,0.006559403,0,0.0198656
superpathway of L-cysteine biosynthesis (mammalian),0,0.002312599,0,0,0,0,0,0,0,0,0.005763112,0,0,0,0,0,0,0,0,0
thiamine diphosphate salvage IV (yeast),0,0.00158078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L-rhamnose degradation I,0,0.004474049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005864599,0
L-ornithine biosynthesis II,0,0,0,0.006308131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation",0,0,0,0.004768811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
superpathway of L-isoleucine biosynthesis I,0,0,0,0.011459003,0.008083871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009073441
4-deoxy-L-threo-hex-4-enopyranuronate degradation,0,0,0,0.002397821,0,0,0,0.00193997,0,0,0,0,0,0,0,0,0,0,0,0
L-arginine biosynthesis I (via L-ornithine),0,0,0,0,0.016272901,0.019613398,0,0,0,0,0.015937205,0.026898401,0,0,0,0.0137568,0,0,0.024381995,0
L-ornithine biosynthesis I,0,0,0,0,0.00713998,0.009304079,0,0,0,0,0.007691962,0.0130795,0,0,0,0.00596958,0,0,0.013131497,0
dTDP-N-acetylthomosamine biosynthesis,0,0,0,0,0.007317201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lipid IVA biosynthesis (E. coli),0,0,0,0,0,0.009518779,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lipid IVA biosynthesis (P. putida),0,0,0,0,0,0.009518779,0,0,0,0,0,0,0,0,0,0,0,0,0,0
superpathway of thiamine diphosphate biosynthesis III (eukaryotes),0,0,0,0,0,0.008421169,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00279532
tetrapyrrole biosynthesis I (from glutamate),0,0,0,0,0,0,0.007748265,0,0,0,0,0,0,0,0,0,0,0,0,0
CMP-pseudaminate biosynthesis,0,0,0,0,0,0,0.006341764,0,0,0,0,0,0,0,0,0,0,0,0,0
superpathway of L-serine and glycine biosynthesis I,0,0,0,0,0,0,0,0.00404814,0,0,0,0,0.00419534,0,0,0,0,0.004579562,0.007996028,0.00919543
chorismate biosynthesis I,0,0,0,0,0,0,0,0,0.006580619,0.011992,0.005655172,0.0146576,0,0.00754168,0.02030449,0,0,0,0.012700898,0
superpathway of aromatic amino acid biosynthesis,0,0,0,0,0,0,0,0,0,0.0113134,0.005950882,0.012498099,0,0,0,0,0,0,0.010539498,0
L-arginine biosynthesis III (via N-acetyl-L-citrulline),0,0,0,0,0,0,0,0,0,0,0.004196591,0,0,0,0,0.006612331,0,0,0.008762359,0
superpathway of guanosine nucleotides de novo biosynthesis II,0,0,0,0,0,0,0,0,0,0,0.007183752,0,0,0,0,0,0,0,0,0
superpathway of adenosine nucleotides de novo biosynthesis II,0,0,0,0,0,0,0,0,0,0,0.009189983,0,0,0,0,0,0,0,0,0
pyrimidine deoxyribonucleotides de novo biosynthesis I,0,0,0,0,0,0,0,0,0,0,0.004481812,0,0,0,0,0,0,0,0,0
pyrimidine deoxyribonucleotide phosphorylation,0,0,0,0,0,0,0,0,0,0,0.005139302,0,0,0,0,0,0,0,0,0
superpathway of pyrimidine nucleobases salvage,0,0,0,0,0,0,0,0,0,0,0.007541792,0,0,0,0,0,0,0,0,0
adenosine deoxyribonucleotides de novo biosynthesis II,0,0,0,0,0,0,0,0,0,0,0.004897981,0,0,0,0,0,0,0,0,0
guanosine deoxyribonucleotides de novo biosynthesis II,0,0,0,0,0,0,0,0,0,0,0.004897981,0,0,0,0,0,0,0,0,0
superpathway of guanosine nucleotides de novo biosynthesis I,0,0,0,0,0,0,0,0,0,0,0.007884673,0,0,0,0,0,0,0,0,0
superpathway of adenosine nucleotides de novo biosynthesis I,0,0,0,0,0,0,0,0,0,0,0.010943904,0,0,0,0,0,0,0,0,0
L-arginine biosynthesis IV (archaebacteria),0,0,0,0,0,0,0,0,0,0,0.012641704,0,0,0,0,0.0136668,0,0,0.021485796,0
superpathway of purine nucleotides de novo biosynthesis I,0,0,0,0,0,0,0,0,0,0,0.007309072,0,0,0,0,0,0,0,0,0
superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli),0,0,0,0,0,0,0,0,0,0,0.004918952,0,0,0,0,0,0,0,0,0
mevalonate pathway I (eukaryotes and bacteria),0,0,0,0,0,0,0,0,0,0,0,0,0.00226354,0,0,0,0,0,0,0
"C4 photosynthetic carbon assimilation cycle, PEPCK type",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008396001,0,0.005706973,0,0
"C4 photosynthetic carbon assimilation cycle, NADP-ME type",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005219913,0,0
"myo-, chiro- and scyllo-inositol degradation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002543381,0,0
superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005135352,0,0
2-oxobutanoate degradation I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003273289,0
flavin biosynthesis I (bacteria and plants),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008614268,0
mixed acid fermentation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00419004
pyruvate fermentation to propanoate I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0028822
"anaerobic energy metabolism (invertebrates, cytosol)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00217256
gluconeogenesis III,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00444203