Name,Kingdom,Phylum,Class,Order,Family,Genus,Species,Strain,1156_MSV-W4_CP04543,1157_MSV-W4_CP04543,1158_MSV-W4_CP04543,1159_MSV-W4_CP04543,1160_MSV-W4_B_CP04543,1161_MSV-W4_CP04543,1162_MSV-W4_CP04543,1163_MSV-W4_CP04543,1164_MSV-W4_CP04543,1165_MSV-W4_CP04543,1176_M_ORX_E-W4_CP04543,1177_M_ORX_E-W4_CP04543,1178_M_ORX_E-W4_CP04543,1179_M_ORX_E-W4_CP04543,1180_M_ORX_E-W4_CP04543,1181_M_ORX_E-W4_CP04543,1182_M_ORX_E-W4_CP04543,1183_M_ORX_E-W4_CP04543,1184_M_ORX_E-W4_CP04543,1185_M_ORX_E-W4_CP04543,1166_M_O_V-W4_CP04543,1167_M_O_V-W4_CP04543,1168_M_O_V-W4_CP04543,1169_M_O_V-W4_CP04543,1170_M_O_V-W4_CP04543,1171_M_O_V-W4_CP04543,1172_M_O_V-W4_CP04543,1173_M_O_V-W4_CP04543,1174_M_O_V-W4_CP04543
Lachnospiraceae bacterium 28-4,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_u_g,Lachnospiraceae_u_s,Lachnospiraceae bacterium 28-4,0.02365,0.00572,0.00256,0.00545,0.02713,0.01111,0.01778,0.00213,0.00738,0.00399,0.01143,0.00109,0.0008,0.00202,0.0006,0.0023,0.01642,0,0,0.00128,0.00358,0.00055,0.01662,0.00451,0.00169,0.00336,0.00101,0.00118,0.00376
Lachnospiraceae bacterium 3-1,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_u_g,Lachnospiraceae_u_s,Lachnospiraceae bacterium 3-1,0.00975,0.0095,0.00377,0.01048,0.01063,0.0133,0.00513,0.0037,0.01455,0.00768,0.00072,0.00071,0.00097,0.00258,0.00084,0.00382,0.00192,0,0,0.00126,0.00527,0.00129,0.00962,0.00505,0,0.00514,0.00117,0.00112,0.00486
Lachnospiraceae bacterium MD308,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_u_g,Lachnospiraceae_u_s,Lachnospiraceae bacterium MD308,0.00489,0.00195,0.0008,0.00292,0.00289,0.00422,0.00149,0.00183,0.00285,0.0024,0.00044,0,0,0.00146,0.00032,0.00117,0.00102,0,0,0,0.00323,0.00051,0.00202,0.00171,0,0.00193,0.00072,0,0.00153
Lachnospiraceae bacterium A2,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_u_g,Lachnospiraceae_u_s,Lachnospiraceae bacterium A2,0.01322,0.01018,0.00377,0.01416,0.01198,0.01934,0.0079,0.0054,0.01396,0.00836,0.00109,0.00085,0.00514,0.00297,0.00629,0.00322,0.00256,0.00378,0.00138,0.00183,0.00501,0.00122,0.01974,0.00427,0.00163,0.00427,0.00127,0.0011,0.00433
Lachnospiraceae bacterium A4,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_u_g,Lachnospiraceae_u_s,Lachnospiraceae bacterium A4,0.01232,0.02379,0.00794,0.0216,0.02936,0.02932,0.01703,0.00356,0.04385,0.03275,0.00149,0.00079,0.00252,0.00343,0.00099,0.00216,0.00405,0.0007,0,0.00272,0.0064,0.00136,0.01768,0.00859,0.00175,0.00874,0.00117,0.00196,0.01024
Lachnospiraceae bacterium MD335,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_u_g,Lachnospiraceae_u_s,Lachnospiraceae bacterium MD335,0.00643,0.00399,0.00149,0.00396,0.00501,0.00523,0.00249,0.0019,0.0084,0.0041,0.00101,0.00059,0,0.00264,0,0.0014,0.00238,0,0,0.0007,0.00244,0,0.01791,0.00214,0.00122,0.00265,0,0.00264,0.01268
Lachnospiraceae bacterium M18-1,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_u_g,Lachnospiraceae_u_s,Lachnospiraceae bacterium M18-1,0.01117,0.00371,0.00149,0.0057,0.0064,0.0103,0.01038,0.0032,0.00358,0.00536,0,0.0006,0.0006,0.00119,0.00064,0.00241,0.00121,0,0,0.00144,0.00437,0.00138,0.00339,0.00395,0,0.00259,0.00187,0,0.00262
Lactobacillaceae bacterium,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillales_u_f,Lactobacillales_u_g,Lactobacillales_u_s,Lactobacillaceae bacterium,0,0.00236,0.07787,0.00303,0,0,0,0.02274,0.00757,0,0.05209,0.05945,0.07932,0.07905,0.09327,0.07275,0.06256,0.08018,0.10669,0.05992,0.0333,0.04438,0.01824,0.04181,0.03762,0.02778,0.04974,0.01888,0.02697
Ligilactobacillus animalis,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Ligilactobacillus animalis,Ligilactobacillus animalis,0,0.00591,0.00161,0.00293,0.00226,0,0.00106,0.00379,0,0,0.00065,0,0,0,0,0,0.00069,0,0,0.00039,0,0,0,0.00088,0.00101,0,0.00114,0.00108,0.00079
Lactobacillus intestinalis DSM 6629,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus intestinalis,Lactobacillus intestinalis DSM 6629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00035,0,0,0.00034,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus johnsonii N6.2,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus johnsonii,Lactobacillus johnsonii N6.2,0,0.03126,0.09828,0.03261,0.00655,0,0.07801,0.10731,0.0481,0.0081,0.07656,0.1285,0.11317,0.1083,0.1234,0.10865,0.07832,0.12445,0.10545,0.06778,0.11347,0.0995,0.05406,0.10081,0.07563,0.08946,0.12061,0.05609,0.06795
Lactobacillus murinus ASF361,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Ligilactobacillus murinus,Lactobacillus murinus ASF361,0.03249,0.32929,0.15304,0.25808,0.16557,0.13616,0.079,0.22184,0.08685,0.03604,0.05845,0.01714,0.02424,0.02659,0.02217,0.02673,0.06318,0.02176,0.0113,0.04419,0.05629,0.05463,0.05765,0.09083,0.08206,0.04938,0.11701,0.08766,0.06482
Limosilactobacillus reuteri,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus reuteri,Limosilactobacillus reuteri,0,0,0,0,0,0,0,0,0,0.00072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus reuteri TD1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus reuteri,Lactobacillus reuteri TD1,0,0.00503,0.05258,0.00487,0,0,0.02366,0,0.02337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Limosilactobacillus reuteri subsp. murium,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus reuteri,Limosilactobacillus reuteri subsp. murium,0,0,0,0,0,0,0,0.04469,0,0,0.06847,0.0587,0.06019,0.05973,0.06847,0.04296,0.07974,0.06295,0.07341,0.05475,0.04691,0.09345,0.03137,0.05913,0.06102,0.04899,0.07785,0.05181,0.05726
Lactobacillus sp. ASF360,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus_u_s,Lactobacillus sp. ASF360,0,0.00288,0.10291,0.00353,0,0,0,0.02618,0.00911,0,0.07143,0.08875,0.11857,0.11549,0.15728,0.09546,0.07994,0.12946,0.1541,0.08599,0.03942,0.05512,0.02198,0.0502,0.04578,0.03418,0.06296,0.02315,0.03173
Lactobacillus taiwanensis DSM 21401,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus taiwanensis,Lactobacillus taiwanensis DSM 21401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mucispirillum schaedleri ASF457,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae,Mucispirillum,Mucispirillum schaedleri,Mucispirillum schaedleri ASF457,0.00838,0.00715,0.00768,0.02793,0.04103,0.00982,0.02689,0.00225,0.09001,0.04647,0.00208,0.0004,0.00518,0.00224,0.00286,0.00702,0.00465,0.00185,0.00083,0.00264,0.01526,0.00103,0.04713,0.0052,0.00375,0.05689,0.00321,0.00088,0.03676
Muribaculaceae bacterium Isolate-001 (NCI),Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculaceae_u_g,Muribaculaceae_u_s,Muribaculaceae bacterium Isolate-001 (NCI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00097,0,0,0.00092,0,0.00102,0,0,0
Muribaculaceae bacterium Isolate-004 (NCI),Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculaceae_u_g,Muribaculaceae_u_s,Muribaculaceae bacterium Isolate-004 (NCI),0.00523,0.04557,0.01585,0.05154,0,0.03042,0.03955,0.03766,0.04063,0.03232,0.02745,0.00611,0.02026,0.02531,0.02141,0.01401,0.0197,0.02977,0.01984,0.03825,0,0.00085,0.05751,0,0.07508,0.00081,0.00066,0.04995,0.04726
Muribaculaceae bacterium Isolate-007 (NCI),Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculaceae_u_g,Muribaculaceae_u_s,Muribaculaceae bacterium Isolate-007 (NCI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00061,0,0,0,0,0.00144,0,0,0,0,0,0
Muribaculaceae bacterium Isolate-013 (NCI),Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculaceae_u_g,Muribaculaceae_u_s,Muribaculaceae bacterium Isolate-013 (NCI),0,0,0,0,0,0,0,0.00068,0,0,0.00061,0.0004,0.00043,0,0,0,0.00059,0,0,0.00042,0,0.00055,0,0,0,0,0.00055,0,0
Muribaculaceae bacterium Isolate-036 (Harlan),Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculaceae_u_g,Muribaculaceae_u_s,Muribaculaceae bacterium Isolate-036 (Harlan),0.00189,0.00148,0.00142,0.00167,0.00112,0.00236,0.00083,0.00161,0.00192,0.00097,0.00074,0.00118,0.00081,0.00088,0,0.00087,0.00059,0.00049,0,0.00093,0.00104,0.0012,0,0.00111,0,0.00099,0.00093,0.00118,0.00072
Muribaculaceae bacterium Isolate-043 (Harlan),Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculaceae_u_g,Muribaculaceae_u_s,Muribaculaceae bacterium Isolate-043 (Harlan),0.00164,0.0452,0.01697,0.05186,0.00147,0.03125,0.03969,0.03737,0.04108,0.03222,0.02783,0.00664,0.02034,0.02526,0.02207,0.01426,0.00709,0.02847,0.01979,0.04007,0.00115,0.00135,0.05481,0,0.07017,0.0012,0.00112,0.0498,0.04685
Muribaculaceae bacterium Isolate-077 (Janvier),Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculaceae_u_g,Muribaculaceae_u_s,Muribaculaceae bacterium Isolate-077 (Janvier),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00236,0,0,0,0,0,0
Muribaculaceae bacterium Isolate-083 (Janvier),Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculaceae_u_g,Muribaculaceae_u_s,Muribaculaceae bacterium Isolate-083 (Janvier),0,0.00204,0.00136,0.00257,0,0,0,0.00151,0.00239,0,0.00086,0.00087,0.00103,0,0.00064,0,0.00134,0.00076,0.00117,0.0008,0.00163,0.00116,0,0.00158,0.00189,0.00162,0.00114,0,0.00126
Muribaculaceae bacterium Isolate-102 (HZI),Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculaceae_u_g,Muribaculaceae_u_s,Muribaculaceae bacterium Isolate-102 (HZI),0.09611,0.06678,0.09347,0.0741,0.06944,0.10477,0.06314,0.06868,0.09102,0.0778,0.13766,0.03489,0.03478,0.06556,0.01743,0.05562,0.114,0.02195,0.02309,0.04161,0.09752,0.08798,0.07474,0.09218,0.0577,0.09616,0.08431,0.0762,0.06207
Muribaculaceae bacterium Isolate-104 (HZI),Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculaceae_u_g,Muribaculaceae_u_s,Muribaculaceae bacterium Isolate-104 (HZI),0.00166,0.00143,0.00122,0.00159,0.00133,0.00154,0.00119,0.00148,0.00152,0.00144,0.00129,0.00085,0.00062,0.00118,0.00036,0.00098,0.00124,0.00052,0,0.00074,0.00144,0.00159,0.0011,0.00131,0.00132,0.00144,0.00134,0.00116,0.00123
Muribaculaceae bacterium Isolate-105 (HZI),Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculaceae_u_g,Muribaculaceae_u_s,Muribaculaceae bacterium Isolate-105 (HZI),0.01818,0.05995,0.02592,0.0685,0.01119,0.04526,0.05111,0.05014,0.05678,0.0437,0.03377,0.01325,0.02804,0.03321,0.02657,0.021,0.02497,0.03794,0.02441,0.05167,0.00447,0.00453,0.06972,0.00447,0.08955,0.00481,0.0039,0.06127,0.0566
Muribaculaceae bacterium Isolate-110 (HZI),Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculaceae_u_g,Muribaculaceae_u_s,Muribaculaceae bacterium Isolate-110 (HZI),0,0,0,0,0,0,0,0,0,0,0.0005,0,0,0,0,0,0,0,0,0,0,0.00057,0,0,0,0,0.00051,0,0
Muribaculum sp. NM65_B17,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculum,Muribaculum_u_s,Muribaculum sp. NM65_B17,0.07508,0.05255,0.0704,0.05806,0.05453,0.08284,0.04874,0.05319,0.06954,0.05858,0.1013,0.02742,0.02722,0.04945,0.01393,0.04303,0.08531,0.01753,0.01811,0.0324,0.07638,0.06707,0.05733,0.07188,0.0455,0.07248,0.06408,0.05672,0.04782
Oscillibacter sp. 1-3,Bacteria,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,Oscillibacter,Oscillibacter_u_s,Oscillibacter sp. 1-3,0.00358,0.01494,0.00263,0.00947,0.00595,0.0081,0.00367,0.00181,0.01737,0.00538,0.00055,0.00125,0.00092,0.0008,0.00042,0.00087,0.00137,0,0,0.00156,0.00561,0.00109,0.01195,0.00965,0.00185,0.00687,0.00179,0.00146,0.00226
Parabacteroides distasonis,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,Parabacteroides distasonis,0,0,0.00105,0,0,0.00158,0.0007,0,0,0.00069,0.00151,0.00067,0.00055,0,0,0,0,0,0,0.00178,0.00293,0.00315,0,0.00226,0,0.00281,0.00252,0.00086,0
Paramuribaculum intestinale,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Paramuribaculum,Paramuribaculum intestinale,Paramuribaculum intestinale,0,0.04567,0.01566,0.05219,0,0.03007,0.03997,0.03729,0.04005,0.03192,0.02706,0.00577,0.02054,0.02508,0.02263,0.0137,0.0191,0.03194,0.02019,0.0411,0,0,0.05917,0,0.0772,0,0,0.0509,0.04801
Parasutterella excrementihominis YIT 11859,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Parasutterella,Parasutterella excrementihominis,Parasutterella excrementihominis YIT 11859,0,0,0,0,0,0,0,0,0,0,0.00276,0.00221,0,0.00189,0,0,0.00156,0,0,0.00292,0.00264,0.00273,0,0.00323,0.00595,0.00445,0.00226,0.00319,0
Clostridioides difficile,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,Clostridioides difficile,0.0056,0.00239,0.00075,0.00572,0.00434,0.00703,0.00242,0.00214,0.00336,0.00466,0,0,0,0.0006,0.00055,0.00149,0,0,0,0.00041,0.00388,0.0009,0.00439,0.00318,0,0.00319,0.00224,0.00069,0.00193
Prevotella sp. MGM1,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_u_s,Prevotella sp. MGM1,0.05279,0.0196,0.03037,0.01056,0.03668,0.03722,0.0392,0.01257,0.01468,0.03609,0.04097,0.03675,0.03071,0.01449,0.01151,0.02171,0.03087,0.01473,0.00549,0.05373,0.08694,0.08343,0.03715,0.06203,0.01501,0.09079,0.06088,0.03207,0.02453
Roseburia sp. 1XD42-69,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,Roseburia_u_s,Roseburia sp. 1XD42-69,0.04537,0.0229,0.02438,0.04678,0.03931,0.08489,0.00812,0.01103,0.02672,0.01135,0.00444,0.00886,0.00101,0.02853,0.00074,0.02384,0.01062,0.00042,0,0.00425,0.00441,0.00135,0.01177,0.00485,0.00103,0.00389,0.0015,0.00096,0.00374
Ruminococcus sp. AF34-12,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,Ruminococcus_u_s,Ruminococcus sp. AF34-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00055,0,0
Mammaliicoccus lentus F1142,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Mammaliicoccus,Mammaliicoccus lentus,Mammaliicoccus lentus F1142,0,0,0,0,0,0,0,0,0,0,0,0,0.01099,0,0.00548,0,0,0.0087,0.00242,0.0049,0,0,0,0,0,0,0,0,0
Staphylococcus xylosus,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus xylosus,Staphylococcus xylosus,0.00463,0.00153,0.00131,0.00157,0.00613,0.00184,0.00493,0.00447,0.00435,0.00469,0.00287,0,0.02038,0,0.01315,0,0,0.0184,0,0.01297,0,0.00056,0,0,0,0,0,0,0
Staphylococcus xylosus DMB3-Bh1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus xylosus,Staphylococcus xylosus DMB3-Bh1,0,0,0,0,0,0,0,0,0,0,0,0.00122,0,0.00217,0,0.00174,0.00296,0,0.01408,0,0,0,0,0,0,0,0,0,0
Turicibacter sp. H121,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Turicibacteraceae,Turicibacter,Turicibacter_u_s,Turicibacter sp. H121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00052,0,0,0,0,0,0,0